epoch,accuracy,loss,val_accuracy,val_loss
0,0.6791594624519348,0.7877318263053894,0.7558650970458984,0.6020174026489258
1,0.7421985268592834,0.6281213164329529,0.7624633312225342,0.5758004784584045
2,0.7602320909500122,0.5763837695121765,0.7653958797454834,0.5408941507339478
3,0.7787360548973083,0.530615508556366,0.7800586223602295,0.5171616077423096
4,0.7930061221122742,0.5065840482711792,0.7873900532722473,0.511843740940094
5,0.7966127991676331,0.5004162192344666,0.7895894646644592,0.5117497444152832
6,0.7942606210708618,0.4889770746231079,0.8013196587562561,0.5001775622367859
7,0.8052375912666321,0.4736550450325012,0.7947214245796204,0.5028393864631653
8,0.8132350444793701,0.45075851678848267,0.8189149498939514,0.45512980222702026
9,0.8119805455207825,0.44971534609794617,0.7947214245796204,0.4932277500629425
10,0.8184099197387695,0.4268622398376465,0.8108504414558411,0.4819345474243164
11,0.8265641927719116,0.4176812469959259,0.8152492642402649,0.4536501169204712
12,0.8331503868103027,0.4092513918876648,0.8013196587562561,0.4790782630443573
13,0.8386388421058655,0.40153515338897705,0.8189149498939514,0.446685254573822
14,0.8369138836860657,0.40135201811790466,0.8211143612861633,0.4459540843963623
15,0.8455386757850647,0.37023594975471497,0.8233137726783752,0.4502160847187042
16,0.8466363549232483,0.3661872446537018,0.8196480870246887,0.45271360874176025
17,0.8469499945640564,0.3703921437263489,0.8152492642402649,0.4726628363132477
18,0.8580837249755859,0.35030969977378845,0.8211143612861633,0.43063995242118835
19,0.8656107783317566,0.33884817361831665,0.8409090638160706,0.41816604137420654
20,0.8648267388343811,0.329874187707901,0.8321114182472229,0.42214134335517883
21,0.8632586002349854,0.33203932642936707,0.8101173043251038,0.4602884352207184
22,0.8703151941299438,0.32171252369880676,0.8357771039009094,0.40562838315963745
23,0.8723537921905518,0.30691930651664734,0.829912006855011,0.42265722155570984
24,0.8841148018836975,0.2849876880645752,0.8357771039009094,0.42026326060295105
25,0.8827034831047058,0.2964076101779938,0.8262463212013245,0.4353465437889099
26,0.8839579820632935,0.2857592701911926,0.8321114182472229,0.4502197504043579
27,0.8874078989028931,0.2801358699798584,0.820381224155426,0.4482584297657013
28,0.8875646591186523,0.275121808052063,0.8306451439857483,0.436663955450058
29,0.893366813659668,0.26675736904144287,0.8321114182472229,0.43961599469184875
30,0.8874078989028931,0.2765161395072937,0.8343108296394348,0.4685312807559967
31,0.8966598510742188,0.25762930512428284,0.8306451439857483,0.4447256922721863
32,0.8965030312538147,0.2478562742471695,0.8343108296394348,0.4553132653236389
33,0.8944644927978516,0.2622147798538208,0.8445748090744019,0.4282495975494385
34,0.9007370471954346,0.2443138211965561,0.829912006855011,0.4328319728374481
35,0.9016779065132141,0.2458510398864746,0.8284457325935364,0.48328977823257446
36,0.9052846431732178,0.24277544021606445,0.8350439667701721,0.47837376594543457
37,0.909832239151001,0.22417323291301727,0.8431084752082825,0.44241341948509216
38,0.9071663618087769,0.23360875248908997,0.8401759266853333,0.4608546793460846
39,0.9123412370681763,0.22200481593608856,0.8475073575973511,0.4401208460330963
40,0.9154775142669678,0.21532389521598816,0.8321114182472229,0.46339401602745056
41,0.9156343340873718,0.21735087037086487,0.8482404947280884,0.45310357213020325
42,0.9168888330459595,0.21314552426338196,0.8423753380775452,0.49348798394203186
43,0.9154775142669678,0.2041000872850418,0.8277125954627991,0.527991533279419
44,0.9223772883415222,0.20097139477729797,0.8284457325935364,0.5072378516197205
45,0.9195546507835388,0.20287978649139404,0.8416422009468079,0.48802557587623596
46,0.9319429397583008,0.17476540803909302,0.837243378162384,0.4684847295284271
47,0.9162615537643433,0.21132531762123108,0.8423753380775452,0.5125764012336731
48,0.9255135655403137,0.1931980699300766,0.857038140296936,0.4260749816894531
49,0.9291203022003174,0.18142391741275787,0.8387096524238586,0.4918976426124573
